seed,CID,Formula,SMILES,MW,HBA,HBD,TPSA,Heavy_Atoms,Complexity,Energy_min,true,pred_mean,pred_std,error_mean,abs_error_mean,abs_error_max,folds,has_metal,has_halogen,has_formal_charge,has_oxygen
123,59091021,BH2O2Rb,[B-](O)O.[Rb+],130.3,3,2,40.5,4,6.0,-2.7821422277,-2.7821422,-2.6038407,0.03975731884062334,0.17830147999999998,0.17830147999999998,0.24114728,5,True,False,True,True
456,134992350,C2H5BLi,[Li+].[B-]CC,46.8,1,0,0.0,4,6.0,-3.0074768978,-3.0074768,-2.83436164,0.0785815931450425,0.17311516,0.17311516,0.29721785,5,True,False,True,False
123,22606574,C2H4BrLi,[Li+].C[CH-]Br,114.9,1,0,0.0,4,6.0,-2.8740248374,-2.8740249,-2.7032759,0.04869730060706652,0.170748996,0.170748996,0.2380774,5,True,True,True,False
123,20745101,C2H4FLi,[Li+].C[CH-]F,54.0,2,0,0.0,4,6.0,-2.9065006913,-2.9065006,-2.7372526600000002,0.021903507805326565,0.169247914,0.169247914,0.19125915,5,True,True,True,False
123,142418848,CH3CsO2,C(O)[O-].[Cs+],179.939,2,1,43.3,4,6.0,-2.876939528,-2.8769395,-2.7080747599999997,0.04499994090516124,0.168864776,0.168864776,0.2397511,5,True,False,True,True
42,20829522,BI2K,[B][I-]I.[K+],303.72,1,0,0.0,4,6.0,-2.3770663844,-2.3770664,-2.54023232,0.06497741935585766,-0.16316595,0.16316595,0.25534892,5,True,True,True,False
123,129737715,C2H2ILi,[Li+].C=[C-]I,159.9,1,0,0.0,4,13.5,-2.7051542385,-2.7051542,-2.8591686600000004,0.041625432920487496,-0.15401449,0.15401449,0.19454288,5,True,True,True,False
456,11815827,CH2BrLi,[Li+].[CH2-]Br,100.9,1,0,0.0,3,4.8,-2.5478991869,-2.5478992,-2.69375374,0.050151032121063956,-0.145854522,0.145854522,0.21543455,5,True,True,True,False
42,71368517,C2H3LiO,[Li+].[CH-]=CO,50.0,2,1,20.2,4,13.5,-2.8907181835,-2.8907182,-2.74652464,0.03059875336297225,0.1441935532,0.1441935532,0.17738938,5,True,False,True,True
42,14925096,C2ILi,[Li+].[C-]#CI,157.9,1,0,0.0,4,32.5,-2.5318368435,-2.5318367,-2.6657469,0.058254437923475004,-0.1339101808,0.1339101808,0.2188716,5,True,True,True,False
456,123308,BLiO2,[Li+].B(=O)[O-],49.8,2,0,40.1,4,13.5,-2.6670770204000003,-2.667077,-2.7944914,0.02700215258724751,-0.1274143224,0.1274143224,0.15600944,5,True,False,True,True
42,19607366,C2BrLi,[Li+].[C-]#CBr,110.9,1,0,0.0,4,32.5,-2.5369850131,-2.536985,-2.65161368,0.058980706537070195,-0.1146287904,0.1146287904,0.2033503,5,True,True,True,False
456,140678060,C2H5KO,[CH2-]CO.[K+],84.16,2,1,20.2,4,6.0,-3.0480244611,-3.0480244,-2.9343088600000002,0.046094759792171536,0.113715554,0.113715554,0.18377066,5,True,False,True,True
42,158336150,C2H4IK,C[CH-]I.[K+],194.06,1,0,0.0,4,6.0,-2.8674050522,-2.867405,-2.75861724,0.04710080786306117,0.1087877272,0.1087877272,0.16502452,5,True,True,True,False
42,158491745,Br3K,[K+].Br[Br-]Br,278.81,1,0,0.0,4,3.2,-2.3354953428,-2.3354952,-2.2272735,0.056902977861136454,0.10822172199999999,0.10822172199999999,0.19272685,5,True,True,True,False
456,59894696,C2H6IK,C[I-]C.[K+],196.07,1,0,0.0,4,6.0,-3.0076440876,-3.0076442,-3.1000571399999997,0.08166736737383551,-0.0924129488,0.10649595280000002,0.19148159,5,True,True,True,False
42,131664061,CBNNa,[B]=C=[N-].[Na+],59.82,1,0,1.0,4,31.0,-2.6349050187,-2.634905,-2.74139388,0.03639380725105579,-0.1064887508,0.1064887508,0.13422441,5,True,False,True,False
42,154169190,KNO,[N-]=O.[K+],69.105,2,0,18.1,3,4.8,-2.4479008633,-2.4479008,-2.55309576,0.028450129811092347,-0.10519499800000001,0.10519499800000001,0.15584207,5,True,False,True,True
42,129646904,CH3N2Na,[C-](=N)N.[Na+],66.038,2,2,49.9,4,13.5,-2.9209990059,-2.920999,-2.81974524,0.06170307593449469,0.10125379539999999,0.10125379539999999,0.16264534,5,True,False,True,False
42,59673869,C2H4NRb,C[C-]=N.[Rb+],127.53,2,1,23.9,4,13.5,-2.9892738637000003,-2.9892738,-2.88803194,0.02644640221916768,0.1012418268,0.1012418268,0.124614954,5,True,False,True,False
123,160040791,ClHNNa,[NH-]Cl.[Na+],73.46,1,1,1.0,3,4.8,-2.4649591103,-2.4649591,-2.56614722,0.03486782384393959,-0.10118804020000001,0.10118804020000001,0.14852357,5,True,True,True,False
456,160837484,C2FNa,[C-]#CF.[Na+],66.01,2,0,0.0,4,32.5,-2.5783080562,-2.578308,-2.67359234,0.019842718770193658,-0.095284223,0.095284223,0.12768602,5,True,True,True,False
456,12585694,C3H3Li,[Li+].C=C=[CH-],46.0,1,0,0.0,4,26.3,-2.9182831624,-2.9182832,-3.0105381,0.03513941528753715,-0.092254878,0.092254878,0.13676095,5,True,False,True,False
456,129657743,C2H3BLi,[Li+].[B]1C[CH-]1,44.8,1,0,0.0,4,15.5,-2.8512756944,-2.8512757,-2.7598276200000003,0.039882254627992046,0.0914480212,0.0914480212,0.1399436,5,True,False,True,False
123,153438311,B3Rb,[B][B-][B].[Rb+],117.9,1,0,0.0,4,3.2,-2.4946615553,-2.4946616,-2.57721798,0.05672397233940855,-0.08255643850000001,0.0887607575,0.13113904,5,True,False,True,False
456,20820566,C2H2FLi,[Li+].C=[C-]F,52.0,2,0,0.0,4,13.5,-2.7589140201,-2.758914,-2.84717606,0.06123757424570336,-0.0882620338,0.0882620338,0.19476557,5,True,True,True,False
123,129836041,C2H3LiO,[Li+].C1[CH-]O1,50.0,2,0,12.5,4,15.5,-2.8629723779,-2.8629723,-2.95113062,0.06353914258016088,-0.0881583686,0.0881583686,0.17363262,5,True,False,True,True
456,59951885,CH2ORb,[CH2-][O].[Rb+],115.494,1,0,1.0,3,4.8,-2.6475055899,-2.6475055,-2.73471604,0.03717982756479652,-0.087210511,0.087210511,0.14957881,5,True,False,True,True
42,129657746,C2H4LiN,[Li+].C1[CH-]N1,49.0,2,1,21.9,4,15.5,-2.968361179,-2.9683611,-2.88675636,0.018738141525588746,0.08160476800000001,0.08160476800000001,0.10328293,5,True,False,True,False
456,71352770,C2H2ClLi,[Li+].C=[C-]Cl,68.5,1,0,0.0,4,13.5,-2.7270382052000004,-2.7270381,-2.80845998,0.06301029844947564,-0.0814218524,0.0814218524,0.1928792,5,True,True,True,False
123,162781858,HNaO3,OO[O-].[Na+],71.996,3,1,52.5,4,3.2,-2.601324234,-2.6013243,-2.52006292,0.026107954697313935,0.081261397,0.081261397,0.111533165,5,True,False,True,True
42,13351303,CH3LiO,[Li+].[CH2-]O,38.0,2,1,20.2,3,4.8,-2.7146806826,-2.7146807,-2.7787205,0.0669076989177627,-0.0640398506,0.08087458659999999,0.14147592,5,True,False,True,True
456,21063311,H2KN3,NN=[N-].[K+],83.135,3,1,39.4,4,10.8,-2.8427588127,-2.842759,-2.7631936,0.06273304341222423,0.0795652861,0.0795652861,0.16355133,5,True,False,True,False
123,160837484,C2FNa,[C-]#CF.[Na+],66.01,2,0,0.0,4,32.5,-2.5783080562,-2.578308,-2.64251474,0.08046283086840779,-0.06420664678,0.07765087962,0.16135406,5,True,True,True,False
456,10964394,C2HK,C#[C-].[K+],64.13,1,0,0.0,3,10.8,-2.5866593724,-2.5866594,-2.6635959,0.0382376469411365,-0.0769364834,0.0769364834,0.13797188,5,True,False,True,False
42,157489353,C2HLiO,[Li+].C#C[O-],48.0,1,0,23.1,4,32.5,-2.7486625278,-2.7486625,-2.82369392,0.026209271324800186,-0.0750314722,0.0750314722,0.11446953,5,True,False,True,True
123,171457097,H2NNaO2,[N-](O)O.[Na+],71.011,3,2,41.5,4,6.0,-2.7259015731,-2.7259016,-2.68885746,0.07889734206082613,0.0370441436,0.0739519116,0.10846114,5,True,False,True,True
42,161111143,BClH3Na,[BH3-]Cl.[Na+],72.28,1,0,0.0,3,4.8,-2.6127374866000004,-2.6127374,-2.61301984,0.09655854581565022,-0.00028242980000000304,0.0719417102,0.13934422,5,True,True,True,False
42,139116698,BH5NNa,[BH3-]N.[Na+],52.85,2,1,26.0,3,4.8,-2.868740186,-2.86874,-2.89138724,0.0853864914361925,-0.022647141559999997,0.06594729444,0.1103971,5,True,False,True,False
456,129694264,CH3LiN2,[Li+].C=N[NH-],50.0,2,1,13.4,4,13.5,-2.9040717505,-2.9040718,-2.96987016,0.02966902041394339,-0.0657983306,0.0657983306,0.09433985,5,True,False,True,False
42,101754802,C2HKN-,C#C[N-].[K],78.13,1,0,1.0,4,29.3,-2.7530419759,-2.753042,-2.81444966,0.06014585689582464,-0.0614076601,0.0651169765,0.12789464,5,True,False,True,False
42,140553376,CH2NNaO,C(=O)[NH-].[Na+],67.023,2,1,18.1,4,15.5,-2.8378567113,-2.8378568,-2.9029174400000004,0.03457432275205114,-0.0650606626,0.0650606626,0.09828591,5,True,False,True,True
42,86144840,C2H2LiN,[Li+].[C-]#CN,47.0,2,1,26.0,4,32.5,-2.8328915686,-2.8328915,-2.76802948,0.053293794181283285,0.0648619647,0.0648619647,0.14177394,5,True,False,True,False
123,13351304,CH2FLi,[Li+].[CH2-]F,40.0,2,0,0.0,3,4.8,-2.5894977575,-2.5894978,-2.65173772,0.02636330195910586,-0.062239933000000004,0.062239933000000004,0.094781876,5,True,True,True,False
456,58841526,CH3FINa,C[I-]F.[Na+],183.927,2,0,0.0,4,8.0,-2.7315581865,-2.731558,-2.71175734,0.07608886086752786,0.019800712200000004,0.06153674220000001,0.11331797,5,True,True,True,False
42,23670955,CH2BrNaO,C([O-])Br.[Na+],132.92,1,0,23.1,4,8.0,-2.7125137335,-2.7125137,-2.77368372,0.05956197490372505,-0.061170052800000006,0.061170052800000006,0.14830899,5,True,True,True,True
42,11829362,CHCl2Li,[Li+].[CH-](Cl)Cl,90.9,1,0,0.0,4,6.0,-2.5217613861,-2.5217614,-2.46423626,0.03962965241846063,0.057525157199999996,0.0609173768,0.09654331,5,True,True,True,False
123,10290740,KN3,[N-]=[N+]=[N-].[K+],81.119,2,0,3.0,4,15.5,-2.6765235779,-2.6765237,-2.7354844199999997,0.03788467811314985,-0.05896072410000001,0.05896072410000001,0.08914018,5,True,False,True,False
123,59815174,F2KN,[N-](F)F.[K+],91.102,3,0,1.0,4,6.0,-2.4628399063,-2.4628398,-2.5054480999999997,0.053968579793014775,-0.042608260339999995,0.05426797794,0.10913801,5,True,True,True,False
123,140440825,CH2FNaO,C([O-])F.[Na+],72.014,2,0,23.1,4,8.0,-2.7560247393,-2.7560248,-2.7999118,0.05063889104231058,-0.0438869474,0.052492332200000005,0.09315133,5,True,True,True,True
456,129708031,BrKO2,[O-]Br=O.[K+],151.0,2,0,40.1,4,13.5,-2.4419044089,-2.4419043,-2.41160466,0.05815915835096829,0.030299663600000006,0.0508851052,0.107699394,5,True,True,True,True
123,11051568,CNNaO,C(=[N-])=O.[Na+],65.007,2,0,18.1,4,31.0,-2.6935241393,-2.6935241,-2.74387438,0.02101941913593251,-0.0503502368,0.0503502368,0.07500601,5,True,False,True,True
456,23670141,BrClIRb,Cl[Br-]I.[Rb+],327.73,1,0,0.0,4,8.0,-2.3458007398,-2.3458006,-2.37799598,0.05757931632832229,-0.032195329,0.0499604694,0.11134648,5,True,True,True,False
123,71335495,C2H3LiO,[Li+].C=[C-]O,50.0,2,1,20.2,4,13.5,-2.8925992177,-2.892599,-2.8542202,0.04130572925932917,0.038378907000000004,0.0492909438,0.07279158,5,True,False,True,True
42,23686678,Br2ClRb,Cl[Br-]Br.[Rb+],280.73,1,0,0.0,4,6.0,-2.3430704726,-2.3430705,-2.3087904200000002,0.044289415996962546,0.0342800616,0.0491306776,0.07284546,5,True,True,True,False
42,161449774,HN2NaO,[NH-]N=O.[Na+],68.011,3,1,30.4,4,13.5,-2.7109595580000003,-2.7109597,-2.66264892,0.034061120116446506,0.048310757100000004,0.048310757100000004,0.09429288,5,True,False,True,True
123,169448209,CHClILi,[Li+].[CH-](Cl)I,182.3,1,0,0.0,4,8.0,-2.5029559365,-2.502956,-2.48099946,0.05715817669212335,0.021956444059999997,0.04620790526,0.0920949,5,True,True,True,False
456,140584049,CH4NNaO,C[N-]O.[Na+],69.039,2,1,21.2,4,8.0,-2.9352677268000003,-2.9352677,-2.94535462,0.05757039925892463,-0.0100869174,0.0458773614,0.08947611,5,True,False,True,True
456,101754802,C2HKN-,C#C[N-].[K],78.13,1,0,1.0,4,29.3,-2.7530419759,-2.753042,-2.76802034,0.053382943099673716,-0.0149783606,0.0458672046,0.07722211,5,True,False,True,False
456,20587905,CBNNa,[B-]C#N.[Na+],59.82,2,0,23.8,4,34.5,-2.6266134276,-2.6266134,-2.5809337,0.018094377734396122,0.0456796648,0.0456796648,0.06432438,5,True,False,True,False
123,172165965,BHKNO,[B-]=NO.[K+],80.93,3,1,32.6,4,15.5,-2.6555275624,-2.6555276,-2.6123426800000003,0.03850821450453148,0.0431848993,0.0431848993,0.10712528,5,True,False,True,True
456,160040791,ClHNNa,[NH-]Cl.[Na+],73.46,1,1,1.0,3,4.8,-2.4649591103,-2.4649591,-2.47996716,0.04965966739873511,-0.0150080206,0.0431125166,0.07026124,5,True,True,True,False
123,10964389,C3H5Li,[Li+].CC=[CH-],48.0,1,0,0.0,4,10.8,-3.0832241974,-3.0832243,-3.10629896,0.04998511869559789,-0.0230746752,0.0411079892,0.08591676,5,True,False,True,False
42,153488305,BFNa,[B-]F.[Na+],52.8,2,0,0.0,3,4.8,-2.3910616649,-2.3910618,-2.35310856,0.030602568702365312,0.037953234,0.0409550192,0.07397032,5,True,True,True,False
456,101218269,CKO2,[C](=O)[O-].[K+],83.108,2,0,40.1,4,13.5,-2.6581043817,-2.6581044,-2.68731564,0.0498565354094425,-0.02921123504,0.039431476640000004,0.10697484,5,True,False,True,True
42,140354489,CHF2Li,[Li+].[CH-](F)F,58.0,3,0,0.0,4,6.0,-2.5874792239,-2.587479,-2.5645226400000003,0.03598185331952766,0.0229564666,0.0385701186,0.048806906,5,True,True,True,False
456,101843487,C2H3CsO,C=C[O-].[Cs+],175.95,1,0,23.1,4,13.5,-2.912541625,-2.9125416,-2.9173165400000003,0.05254803632309212,-0.004774903780000002,0.03778576862,0.08140731,5,True,False,True,True
123,20223730,H2NNaO,[NH-]O.[Na+],55.012,2,2,21.2,3,4.8,-2.6203764859,-2.6203766,-2.64470572,0.039150033084813546,-0.024329138200000003,0.037614489,0.06995273,5,True,False,True,True
123,160703337,BH4KO,[BH3-]O.[K+],69.94,2,1,20.2,3,4.8,-2.7701742391,-2.7701743,-2.75206618,0.049974109654620145,0.0181080821,0.0356704715,0.09471512,5,True,False,True,True
42,85850053,C2H2BrLi,[Li+].C=[C-]Br,112.9,1,0,0.0,4,13.5,-2.7155063289,-2.7155063,-2.7493647,0.025460195209778068,-0.033858394599999994,0.033858394599999994,0.071965694,5,True,True,True,False
42,23665760,ClNaO,[O-]Cl.[Na+],74.44,1,0,23.1,3,4.8,-2.3604721014,-2.3604722,-2.38260542,0.05092286664556499,-0.022133207126,0.033243513274,0.10709095,5,True,True,True,True
123,140647104,H2LiNO2,[Li+].N(O)[O-],55.0,3,2,55.3,4,6.0,-2.7406039408,-2.740604,-2.71794958,0.03745853403554392,0.0226543423,0.0328351017,0.07262635,5,True,False,True,True
123,71417848,C2H2BLi,[Li+].[B]C=[CH-],43.8,1,0,0.0,4,13.5,-2.7802191749,-2.780219,-2.77884304,0.03684911491403827,0.0013761042000000015,0.0307175162,0.04755068,5,True,False,True,False
456,13005318,CHN2Na,C(=N)=[N-].[Na+],64.022,2,1,24.9,4,29.0,-2.7852999294,-2.7853,-2.7730819799999997,0.03812108000610687,0.012218046,0.0279367924,0.071726084,5,True,False,True,False
42,101615927,C2H2NNa,C=C=[N-].[Na+],63.03,1,0,1.0,4,29.0,-2.8600409692,-2.860041,-2.87914316,0.02927973716997819,-0.019102239599999998,0.0270185948,0.058136225,5,True,False,True,False
123,85850053,C2H2BrLi,[Li+].C=[C-]Br,112.9,1,0,0.0,4,13.5,-2.7155063289,-2.7155063,-2.72581894,0.04002233687902276,-0.01031265282,0.02647876742,0.07564807,5,True,True,True,False
456,101059734,CH2KO-,[CH2][O-].[K],69.124,1,0,23.1,3,2.0,-2.6475100703,-2.64751,-2.64795568,0.03499784618754417,-0.00044565239999999964,0.025946426,0.04890251,5,True,False,True,True
123,11126171,C3H5Li,[Li+].C1C[CH-]1,48.0,1,0,0.0,4,10.8,-3.0741801783,-3.0741801,-3.09181324,0.031495277258233596,-0.017633104400000002,0.024807024000000004,0.062716246,5,True,False,True,False
42,129740401,Cl2IK,Cl[I-]Cl.[K+],236.91,1,0,0.0,4,6.0,-2.3511685877,-2.3511686,-2.3305821,0.020961536431521384,0.0205864907786,0.0217225076214,0.044547796,5,True,True,True,False
