,Compound - Canonicalized,Compound Complexity,Count - Hydrogen Bond Acceptor,Count - Hydrogen Bond Donor,Count - Rotatable Bond,Fingerprint - SubStructure Keys,IUPAC Name - Allowed,IUPAC Name - CAS-like Style,IUPAC Name - Markup,IUPAC Name - Preferred,IUPAC Name - Systematic,IUPAC Name - Traditional,InChI - Standard,InChIKey - Standard,Mass - Exact,Molecular Formula,Molecular Weight,SMILES - Absolute,SMILES - Connectivity,Topological - Polar Surface Area,Weight - MonoIsotopic,Count - Heavy Atom,Count - Atom Chiral,Count - Atom Chiral Def,Count - Atom Chiral Undef,Count - Bond Chiral,Count - Bond Chiral Def,Count - Bond Chiral Undef,Count - Isotope Atom,Count - Covalent Unit,Count - Tautomers,cid
10,1,29.8,1,0,0,00000371084000000000000000000000000000000000000000000000000000000000000000000018000000000008008000000000000000004010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,,,,InChI=1S/C3H.Li/c1-3-2;/h1H;/q-1;+1,VKCCTPVVGLLIEU-UHFFFAOYSA-N,44.02382847,C3HLi,44.0,[Li+].[CH]C#[C-],[Li+].[CH]C#[C-],0,44.02382847,4,0,0,0,0,0,0,0,2,-1,162454502
11,1,10.8,1,0,0,00000371004000000040000000000000000000000000000000000000000000000000000000000018000000000000008000000000000000004008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,potassium acetylene,potassium ethyne,potassium ethyne,potassium ethyne,potassium ethyne,potassium acetylene,InChI=1S/C2H.K/c1-2;/h1H;/q-1;+1,CRKHPDAAPWRSRN-UHFFFAOYSA-N,63.97153152,C2HK,64.13,C#[C-].[K+],C#[C-].[K+],0,63.97153152,3,0,0,0,0,0,0,0,2,-1,10964394
12,1,8,2,0,0,00000371020201000040000000000000000000000000000000000000000000000000000000001000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,,,,InChI=1S/BFN.K/c1-3-2;/q-1;+1,QNGKAOFRXIJBJW-UHFFFAOYSA-N,82.9744888,BFKN,82.92,[B][N-]F.[K+],[B][N-]F.[K+],1,82.9744888,4,0,0,0,0,0,0,0,2,-1,58114169
13,1,4.8,1,0,0,00000371020000200000000000000000000000000000000000000000000000000000000000002010000000000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,,,,InChI=1S/CH3B.Na/c1-2;/h1H3;/q-1;+1,VRXGUXQBUBZKDX-UHFFFAOYSA-N,49.0225495,CH3BNa,48.84,[B-]C.[Na+],[B-]C.[Na+],0,49.0225495,3,0,0,0,0,0,0,0,2,-1,57847394
14,1,3.2,1,0,0,00000371804000000000000008000000000000000000000000000000000000000000000000000018000000000008008000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,,,,"InChI=1S/C3H6.Rb/c1-3-2;/h3H,1H2,2H3;/q-1;+1",OHXHQEUMQSMNHY-UHFFFAOYSA-N,126.95873993,C3H6Rb,127.55,C[CH][CH2-].[Rb+],C[CH][CH2-].[Rb+],0,126.95873993,4,0,0,0,0,0,0,0,2,-1,58825830
15,1,13.5,2,1,0,0000037188420000000000000000000000000000000000000000000000000000000000000000001C00100000000000C100040000004000008000000640000000000002000800800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,lithium ethenamine,lithium ethenamine,lithium ethenamine,lithium ethenamine,lithium ethenamine,lithium vinylamine,"InChI=1S/C2H4N.Li/c1-2-3;/h1-2H,3H2;/q-1;+1",ZGBPFOSCSMIEOV-UHFFFAOYSA-N,49.05037757,C2H4LiN,49.0,[Li+].[CH-]=CN,[Li+].[CH-]=CN,26,49.05037757,4,0,0,0,0,0,0,0,2,-1,71417849
16,1,15.5,1,0,0,000003710A4000000000000000000000000012000000000000000000000000000000000000002018000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,,,,"InChI=1S/C2H3B.Li/c1-2-3-1;/h1H,2H2;/q-1;+1",QZGCZKUXYOMWRD-UHFFFAOYSA-N,45.0487837,C2H3BLi,44.8,[Li+].[B]1C[CH-]1,[Li+].[B]1C[CH-]1,0,45.0487837,4,0,0,0,0,0,0,0,2,-1,129657743
17,1,15.5,2,0,0,00000371000300000040000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,potassium azide,potassium azide,potassium azide,potassium azide,potassium azide,potassium azide,InChI=1S/K.N3/c;1-3-2/q+1;-1,TZLVRPLSVNESQC-UHFFFAOYSA-N,80.97292850,KN3,81.119,[N-]=[N+]=[N-].[K+],[N-]=[N+]=[N-].[K+],3,80.97292850,4,0,0,0,0,0,0,0,2,-1,10290740
18,1,8,2,1,0,00000371000220200002000000000000000000000000000000000000000000000000000000000000000408000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,sodium hydroxy(iodo)azanide,sodium hydroxy(iodo)azanide,sodium hydroxy(iodo)azanide,sodium hydroxy(iodo)azanide,sodium iodanyl(oxidanyl)azanide,sodium hydroxy(iodo)azanide,InChI=1S/HINO.Na/c1-2-3;/h3H;/q-1;+1,WQFOKLXEHIRJGC-UHFFFAOYSA-N,180.90006,HINNaO,180.908,[N-](O)I.[Na+],[N-](O)I.[Na+],21.2,180.90006,4,0,0,0,0,0,0,0,2,-1,59783154
19,1,6,2,1,0,000003710B0020000000000000000000000000000000000000000000000000000000000000004800000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,,,,InChI=1S/B2HO.Li/c1-2-3;/h3H;/q-1;+1,RACLXFULXONJGF-UHFFFAOYSA-N,46.0373534,B2HLiO,45.6,[Li+].[B][B-]O,[Li+].[B][B-]O,20.2,46.0373534,4,0,0,0,0,0,0,0,2,-1,156621432
20,1,13.5,2,1,0,0000037180420000000000000800000000000000000000000000000000000000000000000000001C001000000000008100000200004000002000002000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,ethanimine;rubidium(1+),ethanimine;rubidium(1+),ethanimine;rubidium(1+),ethanimine;rubidium(1+),ethanimine;rubidium(1+),ethylideneamine;rubidium(1+),"InChI=1S/C2H4N.Rb/c1-2-3;/h3H,1H3;/q-1;+1",BZMCBQOWXNZXAE-UHFFFAOYSA-N,126.94616387,C2H4NRb,127.53,C[C-]=N.[Rb+],C[C-]=N.[Rb+],23.9,126.94616387,4,0,0,0,0,0,0,0,2,-1,59673869
21,1,32.5,2,1,0,0000037108420000000000000000000000000000000000000000000000000000000000000000000C001000000000000100000000004000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,lithium ethynamine,lithium ethynamine,lithium ethynamine,lithium ethynamine,lithium ethynamine,lithium ethynylamine,InChI=1S/C2H2N.Li/c1-2-3;/h3H2;/q-1;+1,AVBMXPSAZTWPHI-UHFFFAOYSA-N,47.03472750,C2H2LiN,47.0,[Li+].[C-]#CN,[Li+].[C-]#CN,26,47.03472750,4,0,0,0,0,0,0,0,2,-1,86144840
22,1,2.8,3,2,0,00000371880300000000000000000000000000000000000000000000000000000000000000000004001000000000000000000100004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,,,,InChI=1S/CH4N2.Li/c2-1-3;/h2-3H2;/q-1;,ZNMGALUYEVXERX-UHFFFAOYSA-N,51.05345157,CH4LiN2-,51.0,[Li].[C-](N)N,[Li].[C-](N)N,52,51.05345157,4,0,0,0,0,0,0,0,2,-1,101021057
23,1,6,2,2,0,00000371880300000000000000000000000000000000000000000000000000000000000000000014001000000000000000040100004000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,lithium aminomethylazanide,lithium aminomethylazanide,lithium aminomethylazanide,lithium aminomethylazanide,lithium aminomethylazanide,lithium aminomethylazanide,"InChI=1S/CH5N2.Li/c2-1-3;/h2H,1,3H2;/q-1;+1",YBXMSLUOIGFXPP-UHFFFAOYSA-N,52.06127660,CH5LiN2,52.0,[Li+].C(N)[NH-],[Li+].C(N)[NH-],27,52.06127660,4,0,0,0,0,0,0,0,2,-1,102460855
24,1,29,2,0,0,00000371080300000000000000000000000000000000000000000000000000000000000000000014000800000000000000040000000000002200000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,lithium diazomethane,lithium diazomethane,lithium diazomethane,lithium diazomethane,lithium diazomethane,lithium diazomethane,InChI=1S/CHN2.Li/c1-3-2;/h1H;/q-1;+1,ZFUVYPAHILSHEJ-UHFFFAOYSA-N,48.02997647,CHLiN2,48.0,[Li+].[CH-]=[N+]=[N-],[Li+].[CH-]=[N+]=[N-],2,48.02997647,4,0,0,0,0,0,0,0,2,-1,12460342
25,1,3.2,1,0,0,00000371000000000043000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,potassium triiodide,potassium triiodide,potassium triiodide,potassium triiodide,potassium triiodide,potassium triiodide,InChI=1S/I3.K/c1-3-2;/q-1;+1,DKNPRRRKHAEUMW-UHFFFAOYSA-N,419.6771,I3K,419.8117,[K+].I[I-]I,[K+].I[I-]I,0,419.6771,4,0,0,0,0,0,0,0,2,-1,105053
26,1,2.8,1,0,0,00000371804000200000000000000000000000000000000000000000000000000000000000000018000000000000008000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,sodium ethane,sodium ethane,sodium ethane,sodium ethane,sodium ethane,sodium ethane,"InChI=1S/C2H5.Na/c1-2;/h1H2,2H3;/q-1;+1",IZEUYKFIAWOPOS-UHFFFAOYSA-N,52.02889444,C2H5Na,52.05,C[CH2-].[Na+],C[CH2-].[Na+],0,52.02889444,3,0,0,0,0,0,0,0,2,-1,13351308
27,1,13.5,2,0,0,00000371804200000040000000000000000000000000000000000000000000000000000000000014000000000000000000040200020000002000000104000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,potassium N-methylmethanimine,potassium N-methylmethanimine,potassium <I>N</I>-methylmethanimine,potassium N-methylmethanimine,potassium N-methylmethanimine,potassium methanidylidene(methyl)amine,"InChI=1S/C2H4N.K/c1-3-2;/h1H,2H3;/q-1;+1",NMUGHBODHUHAIM-UHFFFAOYSA-N,80.99808062,C2H4KN,81.16,CN=[CH-].[K+],CN=[CH-].[K+],12.4,80.99808062,4,0,0,0,0,0,0,0,2,-1,58153045
28,1,15.5,1,0,0,00000371020200200000000000000000000000000000000000000000000000000000000000003010000000000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,sodium methylboranylideneazanide,sodium methylboranylideneazanide,sodium methylboranylideneazanide,sodium methylboranylideneazanide,sodium methylboranylideneazanide,sodium methylboranylideneazanide,InChI=1S/CH3BN.Na/c1-2-3;/h1H3;/q-1;+1,VGHKYIJNAPUWKE-UHFFFAOYSA-N,63.0256235,CH3BNNa,62.84,B(=[N-])C.[Na+],B(=[N-])C.[Na+],1,63.0256235,4,0,0,0,0,0,0,0,2,-1,167376163
29,1,4.8,1,0,0,00000371000200000000000008000000000000000000000000000000000000000000000000000014000000000000000000040000000000002000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,methyleneazanide;rubidium(1+),methyleneazanide;rubidium(1+),methylideneazanide;rubidium(1+),methylideneazanide;rubidium(1+),methylideneazanide;rubidium(1+),methyleneazanide;rubidium(1+),InChI=1S/CH2N.Rb/c1-2;/h1H2;/q-1;+1,DGQVIRFMMFREJH-UHFFFAOYSA-N,112.93051380,CH2NRb,113.501,C=[N-].[Rb+],C=[N-].[Rb+],1,112.93051380,3,0,0,0,0,0,0,0,2,-1,140587702
30,1,13.5,1,0,0,0000037188420000000000000000000000001600000000000000000000000000000000000000001C00000000000000C100040000020000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000,lithium azanidacyclopropane,lithium azanidacyclopropane,lithium azanidacyclopropane,lithium azanidacyclopropane,lithium 1-azanidacyclopropane,lithium ethylenimin-1-ide,InChI=1S/C2H4N.Li/c1-2-3-1;/h1-2H2;/q-1;+1,KOMWJKIXHXQICN-UHFFFAOYSA-N,49.05037757,C2H4LiN,49.0,[Li+].C1C[N-]1,[Li+].C1C[N-]1,1,49.05037757,4,0,0,0,0,0,0,0,2,-1,12368256
31,1,4.8,1,0,0,00000371000020000010000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,rubidium(1+) hypobromite,rubidium(1+) hypobromite,rubidium(1+) hypobromite,rubidium(1+) hypobromite,rubidium(1+) hypobromite,rubidium(1+) hypobromite,InChI=1S/BrO.Rb/c1-2;/q-1;+1,UACXQHHXYKIEPV-UHFFFAOYSA-N,179.82504,BrORb,181.37,[O-]Br.[Rb+],[O-]Br.[Rb+],23.1,179.82504,3,0,0,0,0,0,0,0,2,-1,140361553
32,1,4.8,1,0,0,00000371000200000000000008000000000000000000000000000000000000000000000000000014000000000000000000040000000000002000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,methyleneazanide;rubidium(1+),methyleneazanide;rubidium(1+),methylideneazanide;rubidium(1+),methylideneazanide;rubidium(1+),methylideneazanide;rubidium(1+),methyleneazanide;rubidium(1+),InChI=1S/CH2N.Rb/c1-2;/h1H2;/q-1;+1,DGQVIRFMMFREJH-UHFFFAOYSA-N,112.93051380,CH2NRb,113.501,C=[N-].[Rb+],C=[N-].[Rb+],1,112.93051380,3,0,0,0,0,0,0,0,2,-1,140587702
33,1,6,1,0,0,000003710B0000000000000000000000000000000000000000000000000000000000000000002010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,,,,InChI=1S/CHB2.Li/c2-1-3;/h1H;/q-1;+1,CQXVWXQGNKXPOS-UHFFFAOYSA-N,42.0424388,CHB2Li,41.6,[Li+].[B][CH-][B],[Li+].[B][CH-][B],0,42.0424388,4,0,0,0,0,0,0,0,2,-1,129710093
34,1,3.2,3,1,0,0000037100003020000000000000000000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,,,,InChI=1S/Na.H2O3/c;1-3-2/h;1-2H/q+1;/p-1,LENJINCTLLSSLB-UHFFFAOYSA-M,71.98233817,HNaO3,71.996,OO[O-].[Na+],OO[O-].[Na+],52.5,71.98233817,4,0,0,0,0,0,0,0,2,-1,162781858
35,1,8,2,1,0,00000371820200200000000000000000000000000000000000000000000000000000000000003010001000000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,,,,"InChI=1S/CH5BN.Na/c1-2-3;/h3H2,1H3;/q-1;+1",YZRYDKGQACWRPA-UHFFFAOYSA-N,65.0412736,CH5BNNa,64.86,[B-](C)N.[Na+],[B-](C)N.[Na+],26,65.0412736,4,0,0,0,0,0,0,0,2,-1,59341893
36,1,29,2,1,0,00000371000300200000000000000000000000000000000000000000000000000000000000000004001000000000000000000100004000002000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,sodium iminomethyleneazanide,sodium iminomethylideneazanide,sodium iminomethylideneazanide,sodium iminomethylideneazanide,sodium azanylidenemethylideneazanide,sodium iminomethyleneazanide,InChI=1S/CHN2.Na/c2-1-3;/h2H;/q-1;+1,MBEGFNBBAVRKLK-UHFFFAOYSA-N,64.00374232,CHN2Na,64.022,C(=N)=[N-].[Na+],C(=N)=[N-].[Na+],24.9,64.00374232,4,0,0,0,0,0,0,0,2,-1,13005318
37,1,4.8,1,0,0,00000371080000000010000000000000000000000000000000000000000000000000000000000010004000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,lithium bromomethane,lithium bromomethane,lithium bromomethane,lithium bromomethane,lithium bromanylmethane,lithium bromomethane,InChI=1S/CH2Br.Li/c1-2;/h1H2;/q-1;+1,JLEFJNSIUHZNFU-UHFFFAOYSA-N,99.94999,CH2BrLi,100.9,[Li+].[CH2-]Br,[Li+].[CH2-]Br,0,99.94999,3,0,0,0,0,0,0,0,2,-1,11815827
38,1,13.5,2,0,0,00000371000030200000000000000000000000000000000000000000000000000000000000000012000000000000000000030008000000000800000088000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,sodium oxo(112C)methanolate,sodium oxo(112C)methanolate,sodium oxo(1<SUP>12</SUP>C)methanolate,sodium oxo(112C)methanolate,sodium oxidanylidene(112C)methanolate,sodium keto(112C)methanolate,"InChI=1S/CH2O2.Na/c2-1-3;/h1H,(H,2,3);/q;+1/p-1/i1+0;",HLBBKKJFGFRGMU-XUGDXVOUSA-M,67.98742355,CHNaO2,67.997,[12CH](=O)[O-].[Na+],C(=O)[O-].[Na+],40.1,67.98742355,4,0,0,0,0,0,0,1,2,-1,23680483
39,1,4.8,2,1,0,00000371080020000000000000000000000000000000000000000000000000000000000000000012000008000000000000020000000002000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000,lithium methanol,lithium methanol,lithium methanol,lithium methanol,lithium methanol,lithium methanol,"InChI=1S/CH3O.Li/c1-2;/h2H,1H2;/q-1;+1",NJIBUELDESEHDG-UHFFFAOYSA-N,38.03439315,CH3LiO,38.0,[Li+].[CH2-]O,[Li+].[CH2-]O,20.2,38.03439315,3,0,0,0,0,0,0,0,2,-1,13351303
40,1,13.5,1,0,0,0000037180420000004000000000000000000000000000000000000000000000000000000000001C00000000000000C100040200000000002000102100000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,potassium ethylideneazanide,potassium ethylideneazanide,potassium ethylideneazanide,potassium ethylideneazanide,potassium ethylideneazanide,potassium ethylideneazanide,"InChI=1S/C2H4N.K/c1-2-3;/h2H,1H3;/q-1;+1",VCNXPQXVKUQESI-UHFFFAOYSA-N,80.99808062,C2H4KN,81.16,CC=[N-].[K+],CC=[N-].[K+],1,80.99808062,4,0,0,0,0,0,0,0,2,-1,59854993
41,1,6,3,2,0,00000371080230000000000000000000000000000000000000000000000000000000000000000000001408000000000000000000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,lithium N-oxidohydroxylamine,lithium N-oxidohydroxylamine,lithium <I>N</I>-oxidohydroxylamine,lithium N-oxidohydroxylamine,lithium N-oxidanidylhydroxylamine,lithium N-oxidohydroxylamine,InChI=1S/Li.H2NO2/c;2-1-3/h;1-2H/q+1;-1,DVOHSJSGMGVLGG-UHFFFAOYSA-N,55.02455674,H2LiNO2,55.0,[Li+].N(O)[O-],[Li+].N(O)[O-],55.3,55.02455674,4,0,0,0,0,0,0,0,2,-1,140647104
42,1,13.5,1,1,0,0000037188420000000000000000000000000000000000000000000000000000000000000000001C00100000000000C100040000004000008000000640000000000002000800800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,lithium vinylazanide,lithium ethenylazanide,lithium ethenylazanide,lithium ethenylazanide,lithium ethenylazanide,lithium vinylazanide,"InChI=1S/C2H4N.Li/c1-2-3;/h2-3H,1H2;/q-1;+1",KWVJOPHXLUORKH-UHFFFAOYSA-N,49.05037757,C2H4LiN,49.0,[Li+].C=C[NH-],[Li+].C=C[NH-],1,49.05037757,4,0,0,0,0,0,0,0,2,-1,129875527
43,1,4.8,1,0,0,00000371020200000040000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,,,,InChI=1S/BN.K/c1-2;/q-1;+1,RUUHBQLLICQZCG-UHFFFAOYSA-N,63.9760857,BKN,63.92,[B]=[N-].[K+],[B]=[N-].[K+],1,63.9760857,3,0,0,0,0,0,0,0,2,-1,58627710
44,1,10.3,1,1,0,0000037108420000000000000000000000000000000000000000000000000000000000000000001C00100000000000C100040000004000008000000640000000000002000800800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,,,,InChI=1S/C2H3N.Li/c1-2-3;/h1-3H;/q-1;,AYMAMYQYJPIBSF-UHFFFAOYSA-N,48.04255253,C2H3LiN-,48.0,[Li].[CH]=C[NH-],[Li].[CH]=C[NH-],1,48.04255253,4,0,0,0,0,0,0,0,2,-1,100982396
45,1,15.5,2,0,0,00000371000220200000000000000000000000000000000000000000000000000000000000000014000400000000000000040000001000002000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,sodium N-oxidomethanimine,sodium N-oxidomethanimine,sodium <I>N</I>-oxidomethanimine,sodium N-oxidomethanimine,sodium N-oxidanidylmethanimine,sodium methylene(oxido)amine,"InChI=1S/CH3NO.Na/c1-2-3;/h3H,1H2;/q;+1/p-1",QGHASHZBBWAMEP-UHFFFAOYSA-M,67.00340797,CH2NNaO,67.023,C=N[O-].[Na+],C=N[O-].[Na+],35.4,67.00340797,4,0,0,0,0,0,0,0,2,-1,160408535
